"Part";"Value";"Device";"Package";"Description";"";
"C1";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"C2";"22pF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"C3";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C4";"22pF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"C5";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C6";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C7";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"C8";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C9";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C10";"0.1uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";
"C14";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"CHG";"ORANGE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"D1";"MBR120";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";
"D2";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"D3";"BLUE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"IC1";"X9C102S";"X9C102S";"SOIC08";"Digital POTENTIOMETER";"";
"IC2";"MS5611-01BA03";"MS5611-01BA03UNO";"SON125P300X500X100-8N";"Variometer Module, with stainless steel cap";"";
"L";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"LS1";"SMT-1127-S-R";"SMT-1127-S-R";"XDCR_SMT-1127-S-R";"Audio Indicator Transducer Electromagnetic 3.6Vpk 100mA Solder Pad 2.5Vpk 2231Hz to 3231Hz Surface Mount";"";
"Q1";"";"NPN-TRANSISTOR_SOT23";"SOT23";"NPN TRANSISTOR";"";
"R1";"100k";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R2";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R3";"100k";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R4";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R5";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R6";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R7";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R8";"10K\";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R10";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"S1";"JS202011SCQN";"JS202011SCQN";"JS202011SCQN";"Sub miniature slide switches";"";
"SW1";"SPST_TACT-KMR2";"SPST_TACT-KMR2";"KMR2";"SMT 6mm switch, EVQQ2 series";"";
"SW2";"SPST_TACT-KMR2";"SPST_TACT-KMR2";"KMR2";"SMT 6mm switch, EVQQ2 series";"";
"SW3";"SPST_TACT-KMR2";"SPST_TACT-KMR2";"KMR2";"SMT 6mm switch, EVQQ2 series";"";
"TP3";"SWCLK";"TESTPOINT1.5X2.0MM_NOCREAM";"PAD-1.5X2.0";"Test Point";"";
"TP4";"SWDIO";"TESTPOINT1.5X2.0MM_NOCREAM";"PAD-1.5X2.0";"Test Point";"";
"TP5";"SWDIO";"TESTPOINT1.5X2.0MM_NOCREAM";"PAD-1.5X2.0";"Test Point";"";
"U$4";"ATSAMD21G18_QFN";"ATSAMD21J_QFN";"TQFN48_7MM";"";"";
"U$31";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"";
"U$32";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"";
"U$34";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";
"U$35";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";
"U1";"MBT40";"NRF51822_MODULE_MDBT40";"BLE_MODULE_RAYTAC_MDBT40";"nRF51822 Bluetooth Low Energy Module";"";
"U2";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";
"U3";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"MCP73831/2 LIPO Charger";"";
"X1";"JSTPH";"CON_JST_PH_2PIN";"JSTPH2";"JST 2-Pin Right-Angle Connector";"";
"X2";"32.768";"XTAL-3.2X1.5";"XTAL3215";"Low cost SMT crystals, no capacitors included";"";
"X3";"microUSB";"USB_MICRO_20329_V2";"4UCONN_20329_V2";"USB Connectors";"";
"X5";"4u20317";"JTAG-CORTEXBOXPOSTS";"2X05_1.27MM_BOX_POSTS";"Serial Wire (SW-DP) Connector";"";
